daily_time_spent,age,avg_income,daily_internet_use,gender,timestamp,clicked_on_ad
68.95,35,61833.9,256.09,0,2016-03-27 00:53:11,0
80.23,31,68441.85,193.77,1,2016-04-04 01:39:02,0
69.47,26,59785.94,236.5,0,2016-03-13 20:35:42,0
74.15,29,54806.18,245.89,1,2016-01-10 02:31:19,0
68.37,35,73889.99,225.58,0,2016-06-03 03:36:18,0
59.99,23,59761.56,226.74,1,2016-05-19 14:30:17,0
88.91,33,53852.85,208.36,0,2016-01-28 20:59:32,0
66.0,48,24593.33,131.76,1,2016-03-07 01:40:15,1
74.53,30,68862.0,221.51,1,2016-04-18 09:33:42,0
69.88,20,55642.32,183.82,1,2016-07-11 01:42:51,0
47.64,49,45632.51,122.02,0,2016-03-16 20:19:01,1
83.07,37,62491.01,230.87,1,2016-05-08 08:10:10,0
69.57,48,51636.92,113.12,1,2016-06-03 01:14:41,1
79.52,24,51739.63,214.23,0,2016-04-20 21:49:22,0
42.95,33,30976.0,143.56,0,2016-03-24 09:31:49,1
63.45,23,52182.23,140.64,1,2016-03-09 03:41:30,1
55.39,37,23936.86,129.41,0,2016-01-30 19:20:41,1
82.03,41,71511.08,187.53,0,2016-05-02 07:00:58,0
54.7,36,31087.54,118.39,1,2016-02-13 07:53:55,1
74.58,40,23821.72,135.51,1,2016-02-27 04:43:07,1
77.22,30,64802.33,224.44,1,2016-01-05 07:52:48,0
84.59,35,60015.57,226.54,1,2016-03-18 13:22:35,0
41.49,52,32635.7,164.83,0,2016-05-20 08:49:33,1
87.29,36,61628.72,209.93,1,2016-03-23 09:43:43,0
41.39,41,68962.32,167.22,0,2016-06-13 17:27:09,1
78.74,28,64828.0,204.79,1,2016-05-27 15:25:52,0
48.53,28,38067.08,134.14,1,2016-02-08 10:46:14,1
51.95,52,58295.82,129.23,0,2016-07-19 08:32:10,1
70.2,34,32708.94,119.2,0,2016-04-14 05:08:35,1
76.02,22,46179.97,209.82,0,2016-01-27 12:38:16,0
67.64,35,51473.28,267.01,1,2016-07-02 20:23:15,0
86.41,28,45593.93,207.48,1,2016-03-01 22:13:37,0
59.05,57,25583.29,169.23,1,2016-07-15 05:05:14,1
55.6,23,30227.98,212.58,0,2016-01-14 14:00:09,1
57.64,57,45580.92,133.81,1,2016-03-15 03:12:25,1
84.37,30,61389.5,201.58,0,2016-04-12 03:26:39,0
62.26,53,56770.79,125.45,1,2016-04-07 15:18:10,1
65.82,39,76435.3,221.94,0,2016-02-09 05:28:18,0
50.43,46,57425.87,119.32,1,2016-05-07 17:11:49,1
38.93,39,27508.41,162.08,0,2016-03-11 06:49:10,1
84.98,29,57691.95,202.61,0,2016-04-27 09:27:58,0
64.24,30,59784.18,252.36,0,2016-04-16 11:53:43,0
82.52,32,66572.39,198.11,1,2016-05-08 15:38:46,0
81.38,31,64929.61,212.3,0,2016-02-08 00:23:38,0
80.47,25,57519.64,204.86,0,2016-02-11 13:26:22,0
37.68,52,53575.48,172.83,1,2016-02-17 13:16:33,1
69.62,20,50983.75,202.25,1,2016-02-26 22:46:43,0
85.4,43,67058.72,198.72,0,2016-06-08 18:54:01,0
44.33,37,52723.34,123.72,1,2016-01-08 09:32:26,1
48.01,46,54286.1,119.93,0,2016-04-25 11:01:54,1
73.18,23,61526.25,196.71,1,2016-04-04 07:07:46,0
79.94,28,58526.04,225.29,0,2016-05-03 21:19:58,0
33.33,45,53350.11,193.58,1,2016-01-17 09:31:36,1
50.33,50,62657.53,133.2,1,2016-03-02 04:57:51,1
62.31,47,62722.57,119.3,0,2016-02-14 07:36:58,1
80.6,31,67479.62,177.55,0,2016-04-07 03:56:16,0
65.19,36,75254.88,150.61,0,2016-02-17 11:42:00,1
44.98,49,52336.64,129.31,0,2016-04-10 00:13:47,1
77.63,29,56113.37,239.22,0,2016-02-14 17:05:15,0
41.82,41,24852.9,156.36,0,2016-05-26 22:49:47,1
85.61,27,47708.42,183.43,0,2016-04-30 08:07:13,0
85.84,34,64654.66,192.93,1,2016-06-15 05:30:13,0
72.08,29,71228.44,169.5,0,2016-03-09 14:45:33,0
86.06,32,61601.05,178.92,1,2016-03-31 20:55:22,0
45.96,45,66281.46,141.22,0,2016-06-03 00:55:23,1
62.42,29,73910.9,198.5,1,2016-03-10 23:36:03,0
63.89,40,51317.33,105.22,0,2016-01-08 00:17:27,1
35.33,32,51510.18,200.22,0,2016-06-05 22:11:34,1
75.74,25,61005.87,215.25,1,2016-01-16 11:35:01,0
78.53,34,32536.98,131.72,0,2016-04-22 20:10:22,1
46.13,31,60248.97,139.01,0,2016-02-01 09:00:55,1
69.01,46,74543.81,222.63,0,2016-07-07 13:37:34,0
55.35,39,75509.61,153.17,1,2016-03-08 00:37:54,1
33.21,43,42650.32,167.07,1,2016-05-10 17:39:06,1
38.46,42,58183.04,145.98,1,2016-04-06 11:24:21,1
64.1,22,60465.72,215.93,0,2016-04-01 16:21:05,0
49.81,35,57009.76,120.06,1,2016-01-05 04:18:46,1
82.73,33,54541.56,238.99,1,2016-05-20 21:31:24,0
56.14,38,32689.04,113.53,1,2016-02-03 07:59:16,1
55.13,45,55605.92,111.71,0,2016-02-17 21:55:29,1
78.11,27,63296.87,209.25,1,2016-01-30 16:10:04,0
73.46,28,65653.47,222.75,1,2016-05-15 14:41:49,0
56.64,38,61652.53,115.91,0,2016-01-05 17:56:52,1
68.94,54,30726.26,138.71,0,2016-04-19 07:34:28,1
70.79,31,74535.94,184.1,0,2016-03-15 15:49:14,0
57.76,41,47861.93,105.15,0,2016-06-12 15:25:44,1
77.51,36,73600.28,200.55,0,2016-07-01 04:41:57,0
52.7,34,58543.94,118.6,1,2016-05-08 12:12:04,1
57.7,34,42696.67,109.07,0,2016-03-14 23:13:11,1
56.89,37,37334.78,109.29,1,2016-05-25 00:19:57,1
69.9,43,71392.53,138.35,0,2016-05-13 11:51:10,1
55.79,24,59550.05,149.67,0,2016-02-20 20:47:05,1
70.03,26,64264.25,227.72,1,2016-05-22 20:49:37,0
50.08,40,64147.86,125.85,1,2016-04-10 02:02:36,1
43.67,31,25686.34,166.29,1,2016-02-28 06:41:44,1
72.84,26,52968.22,238.63,0,2016-07-08 21:18:32,0
45.72,36,22473.08,154.02,1,2016-04-19 15:14:58,1
39.94,41,64927.19,156.3,0,2016-01-08 22:47:10,1
35.61,46,51868.85,158.22,0,2016-03-28 08:46:26,1
79.71,34,69456.83,211.65,1,2016-07-02 14:57:53,0
41.49,53,31947.65,169.18,0,2016-07-03 09:22:30,1
63.6,23,51864.77,235.28,1,2016-06-01 09:27:34,0
89.91,40,59593.56,194.23,0,2016-07-09 14:55:36,0
68.18,21,48376.14,218.17,1,2016-02-09 22:04:54,0
66.49,20,56884.74,202.16,0,2016-06-10 11:31:33,0
80.49,40,67186.54,229.12,1,2016-02-14 03:50:52,0
72.23,25,46557.92,241.03,1,2016-07-05 17:17:49,0
42.39,42,66541.05,150.99,0,2016-04-28 05:50:25,1
47.53,30,33258.09,135.18,0,2016-04-03 05:10:31,1
74.02,32,72272.9,210.54,0,2016-03-09 14:57:11,0
66.63,60,60333.38,176.98,0,2016-01-16 23:37:51,1
63.24,53,65229.13,235.78,1,2016-07-03 04:33:41,1
71.0,22,56067.38,211.87,0,2016-03-14 06:46:14,0
46.13,46,37838.72,123.64,1,2016-01-09 05:44:56,1
69.0,32,72683.35,221.21,1,2016-02-11 04:37:34,0
76.99,31,56729.78,244.34,1,2016-06-22 07:33:21,0
72.6,55,66815.54,162.95,0,2016-07-13 16:12:24,1
61.88,42,60223.52,112.19,1,2016-07-23 11:46:28,1
84.45,50,29727.79,207.18,0,2016-07-13 04:10:53,1
88.97,45,49269.98,152.49,0,2016-06-11 18:32:12,1
86.19,31,57669.41,210.26,1,2016-05-08 12:51:00,0
49.58,26,56791.75,231.94,0,2016-04-07 16:02:02,0
77.65,27,63274.88,212.79,0,2016-02-04 13:30:32,0
37.75,36,35466.8,225.24,0,2016-02-26 19:48:23,1
62.33,43,68787.09,127.11,0,2016-06-21 13:15:21,1
79.57,31,61227.59,230.93,0,2016-05-17 04:27:31,0
80.31,44,56366.88,127.07,0,2016-04-18 15:54:33,1
89.05,45,57868.44,206.98,0,2016-04-03 10:07:56,0
70.41,27,66618.21,223.03,0,2016-04-04 21:30:46,0
67.36,37,73104.47,233.56,0,2016-07-06 16:00:33,0
46.98,50,21644.91,175.37,0,2016-05-04 09:00:24,1
41.67,36,53817.02,132.55,0,2016-06-13 18:50:00,1
51.24,36,76368.31,176.73,0,2016-01-03 16:01:40,1
75.7,29,67633.44,215.44,0,2016-01-14 00:23:10,0
43.49,47,50335.46,127.83,0,2016-01-12 10:07:29,1
49.89,39,17709.98,160.03,1,2016-04-16 12:09:25,1
38.37,36,41229.16,140.46,0,2016-05-13 06:09:28,1
38.52,38,42581.23,137.28,1,2016-03-27 23:59:06,1
71.89,23,61617.98,172.81,1,2016-02-03 23:47:56,0
75.8,38,70575.6,146.19,1,2016-04-18 11:23:05,0
83.86,31,64122.36,190.25,0,2016-02-05 19:06:01,0
37.51,30,52097.32,163.0,1,2016-03-21 18:46:41,1
55.6,44,65953.76,124.38,1,2016-06-14 11:59:58,1
83.67,44,60192.72,234.26,1,2016-02-06 23:08:57,0
69.08,41,77460.07,210.6,0,2016-03-12 01:39:19,0
37.47,44,45716.48,141.89,1,2016-01-26 03:56:18,1
56.04,49,65120.86,128.95,1,2016-02-07 08:02:31,1
70.92,41,49995.63,108.16,1,2016-05-05 07:58:22,1
49.78,46,71718.51,152.24,0,2016-06-29 02:43:29,1
68.61,57,61770.34,150.29,0,2016-04-10 19:48:01,1
58.18,25,69112.84,176.28,1,2016-02-10 06:37:56,0
78.54,35,72524.86,172.1,0,2016-05-28 20:41:50,0
37.0,48,36782.38,158.22,1,2016-03-24 06:36:52,1
65.4,33,66699.12,247.31,0,2016-02-12 22:51:08,0
79.52,27,64287.78,183.48,1,2016-06-10 10:11:00,0
87.98,38,56637.59,222.11,1,2016-03-31 10:44:46,0
44.64,36,55787.58,127.01,0,2016-02-14 06:51:43,1
41.73,28,61142.33,202.18,1,2016-01-07 19:16:05,1
80.46,27,61625.87,207.96,1,2016-02-04 02:13:52,0
75.55,36,73234.87,159.24,0,2016-05-09 02:58:58,1
76.32,35,74166.24,195.31,1,2016-06-23 00:16:02,0
82.68,33,62669.59,222.77,1,2016-06-20 09:35:02,0
72.01,31,57756.89,251.0,0,2016-02-29 12:31:57,0
75.83,24,58019.64,162.44,0,2016-01-17 15:10:31,0
41.28,50,50960.08,140.39,0,2016-01-29 03:54:19,1
34.66,32,48246.6,194.83,0,2016-07-14 12:07:10,1
66.18,55,28271.84,143.42,0,2016-01-10 23:14:30,1
86.06,31,53767.12,219.72,1,2016-04-28 18:34:56,0
59.59,42,43662.1,104.78,1,2016-07-06 18:36:01,1
86.69,34,62238.58,198.56,0,2016-05-27 06:19:27,0
43.77,52,49030.03,138.55,1,2016-01-25 07:39:41,1
71.84,47,76003.47,199.79,1,2016-05-08 22:47:18,0
80.23,31,68094.85,196.23,0,2016-03-19 14:23:45,0
74.41,26,64395.85,163.05,0,2016-07-23 04:37:05,0
63.36,48,70053.27,137.43,0,2016-06-23 01:22:43,1
71.74,35,72423.97,227.56,0,2016-07-19 18:06:22,0
60.72,44,42995.8,105.69,0,2016-02-28 18:52:44,1
72.04,22,60309.58,199.43,0,2016-02-10 06:52:07,0
44.57,31,38349.78,133.17,1,2016-03-27 09:11:10,1
85.86,34,63115.34,208.23,0,2016-05-23 02:15:04,0
39.85,38,31343.39,145.96,0,2016-01-03 03:22:15,1
84.53,27,40763.13,168.34,0,2016-01-04 21:48:38,1
62.95,60,36752.24,157.04,0,2016-05-24 13:30:38,1
67.58,41,65044.59,255.61,1,2016-02-01 19:42:40,0
85.56,29,53673.08,210.46,0,2016-06-05 13:16:24,0
46.88,54,43444.86,136.64,0,2016-02-04 08:53:37,1
46.31,57,44248.52,153.98,1,2016-03-24 13:37:53,1
77.95,31,62572.88,233.65,1,2016-06-02 21:02:22,0
84.73,30,39840.55,153.76,0,2016-02-21 07:42:48,1
39.86,36,32593.59,145.85,0,2016-06-26 17:16:26,1
50.08,30,41629.86,123.91,0,2016-01-03 05:34:33,1
60.23,35,43313.73,106.86,0,2016-03-08 18:00:43,1
60.7,49,42993.48,110.57,1,2016-06-19 03:19:44,1
43.67,53,46004.31,143.79,1,2016-07-21 21:16:35,1
77.2,33,49325.48,254.05,1,2016-02-12 20:36:40,0
71.86,32,51633.34,116.53,0,2016-05-17 06:14:20,1
44.78,45,63363.04,137.24,1,2016-07-09 11:04:54,1
78.57,36,64045.93,239.32,1,2016-03-27 02:35:29,0
73.41,31,73049.3,201.26,1,2016-01-16 08:01:40,0
77.05,27,66624.6,191.14,0,2016-01-21 23:48:29,0
66.4,40,77567.85,214.42,0,2016-06-05 00:29:13,0
69.35,29,53431.35,252.77,1,2016-02-13 15:37:36,0
35.65,40,31265.75,172.58,1,2016-05-10 07:22:37,1
70.04,31,74780.74,183.85,1,2016-03-27 03:59:26,0
69.78,29,70410.11,218.79,0,2016-05-24 18:35:58,0
58.22,29,37345.24,120.9,0,2016-02-11 02:40:02,1
76.9,28,66107.84,212.67,0,2016-04-22 08:31:24,0
84.08,30,62336.39,187.36,1,2016-01-13 02:58:27,0
59.51,58,39132.64,140.83,0,2016-06-16 02:01:24,1
40.15,38,38745.29,134.88,1,2016-06-27 18:37:04,1
76.81,28,65172.22,217.85,1,2016-07-03 12:57:03,0
41.89,38,68519.96,163.38,0,2016-02-03 04:21:14,1
76.87,27,54774.77,235.35,1,2016-05-29 21:17:10,0
67.28,43,76246.96,155.8,1,2016-04-03 21:13:46,1
81.98,40,65461.92,229.22,0,2016-04-15 11:51:14,0
66.01,23,34127.21,151.95,0,2016-06-21 03:14:41,1
61.57,53,35253.98,125.94,1,2016-03-14 14:13:05,1
53.3,34,44893.71,111.94,0,2016-05-06 21:07:31,1
34.87,40,59621.02,200.23,0,2016-06-12 17:52:43,1
43.6,38,20856.54,170.49,0,2016-01-11 07:36:22,1
77.88,37,55353.41,254.57,0,2016-07-02 00:24:22,0
75.83,27,67516.07,200.59,0,2016-03-04 10:13:48,0
49.95,39,68737.75,136.59,0,2016-03-24 09:12:52,1
60.94,41,76893.84,154.97,0,2016-02-14 07:30:24,1
89.15,42,59886.58,171.07,0,2016-04-25 07:30:21,0
78.7,30,53441.69,133.99,0,2016-02-10 19:20:51,1
57.35,29,41356.31,119.84,0,2016-04-23 14:34:38,1
34.86,38,49942.66,154.75,0,2016-06-18 17:56:32,1
70.68,31,74430.08,199.08,0,2016-07-17 01:58:53,0
76.06,23,58633.63,201.04,0,2016-04-27 04:28:17,0
66.67,33,72707.87,228.03,1,2016-04-21 20:29:35,0
46.77,32,31092.93,136.4,1,2016-03-23 06:00:15,1
62.42,38,74445.18,143.94,0,2016-07-19 07:59:18,1
78.32,28,49309.14,239.52,0,2016-06-26 11:52:18,1
37.32,50,56735.14,199.25,1,2016-03-30 23:40:52,1
40.42,45,40183.75,133.9,1,2016-03-16 07:59:37,1
76.77,36,58348.41,123.51,0,2016-05-04 00:01:33,1
65.65,30,72209.99,158.05,0,2016-07-02 21:22:23,0
74.32,33,62060.11,128.17,0,2016-05-23 21:14:38,1
73.27,32,67113.46,234.75,1,2016-01-29 20:16:54,0
80.03,44,24030.06,150.84,0,2016-07-23 14:47:23,1
53.68,47,56180.93,115.26,1,2016-02-16 09:11:27,1
85.84,32,62204.93,192.85,1,2016-06-09 21:43:05,0
85.03,30,60372.64,204.52,0,2016-06-19 09:24:35,0
70.44,24,65280.16,178.75,1,2016-06-06 21:26:51,0
81.22,53,34309.24,223.09,1,2016-01-07 13:25:21,0
39.96,45,59610.81,146.13,1,2016-04-15 06:08:35,1
57.05,41,50278.89,269.96,1,2016-01-09 03:45:19,1
42.44,56,43450.11,168.27,0,2016-02-10 15:23:17,1
62.2,25,25408.21,161.16,0,2016-04-24 13:42:15,1
76.7,36,71136.49,222.25,0,2016-06-12 05:31:19,0
61.22,45,63883.81,119.03,1,2016-01-05 09:42:22,1
84.54,33,64902.47,204.02,1,2016-03-02 10:07:43,0
46.08,30,66784.81,164.63,1,2016-07-21 10:54:35,1
56.7,48,62784.85,123.13,0,2016-01-09 04:53:22,1
81.03,28,63727.5,201.15,0,2016-01-06 13:20:01,0
80.91,32,61608.23,231.42,0,2016-01-31 04:10:20,0
40.06,38,56782.18,138.68,1,2016-06-11 08:38:16,1
83.47,39,64447.77,226.11,0,2016-05-15 20:48:40,0
73.84,31,42042.95,121.05,0,2016-06-18 17:23:26,1
74.65,28,67669.06,212.56,0,2016-03-17 05:00:12,0
60.25,35,54875.95,109.77,0,2016-06-29 13:35:05,1
59.21,35,73347.67,144.62,1,2016-02-02 08:55:26,1
43.02,44,50199.77,125.22,0,2016-04-13 05:42:52,1
84.04,38,50723.67,244.55,0,2016-07-20 09:27:24,0
70.66,43,63450.96,120.95,1,2016-02-26 04:57:14,1
70.58,26,56694.12,136.94,0,2016-02-26 09:18:48,1
72.44,34,70547.16,230.14,0,2016-04-15 14:45:48,0
40.17,26,47391.95,171.31,1,2016-02-01 14:37:34,1
79.15,26,62312.23,203.23,0,2016-01-20 19:09:37,0
44.49,53,63100.13,168.0,1,2016-04-23 06:28:43,1
73.04,37,73687.5,221.79,1,2016-06-19 22:26:16,0
76.28,33,52686.47,254.34,0,2016-02-15 07:55:10,0
68.88,37,78119.5,179.58,0,2016-02-09 19:37:52,0
73.1,28,57014.84,242.37,0,2016-01-25 07:52:53,0
47.66,29,27086.4,156.54,0,2016-07-18 11:33:31,1
87.3,35,58337.18,216.87,0,2016-01-09 07:28:16,0
89.34,32,50216.01,177.78,1,2016-03-21 21:15:54,0
81.37,26,53049.44,156.48,1,2016-02-15 12:25:28,0
81.67,28,62927.96,196.76,1,2016-03-04 08:48:29,0
46.37,52,32847.53,144.27,0,2016-01-05 00:02:53,1
54.88,24,32006.82,148.61,0,2016-05-15 01:03:06,1
40.67,35,48913.07,133.18,0,2016-05-05 09:28:36,1
71.76,35,69285.69,237.39,0,2016-05-26 13:18:30,0
47.51,51,53700.57,130.41,1,2016-05-21 01:36:16,1
75.15,22,52011.0,212.87,1,2016-05-04 12:06:18,0
56.01,26,46339.25,127.26,0,2016-07-05 18:59:45,1
82.87,37,67938.77,213.36,0,2016-06-28 20:13:41,0
45.05,42,66348.95,141.36,0,2016-05-05 11:09:29,1
60.53,24,66873.9,167.22,0,2016-03-25 15:17:39,1
50.52,31,72270.88,171.62,0,2016-01-23 15:02:13,1
84.71,32,61610.05,210.23,0,2016-05-29 07:29:27,0
55.2,39,76560.59,159.46,1,2016-05-30 07:36:31,1
81.61,33,62667.51,228.76,0,2016-04-17 15:46:03,0
71.55,36,75687.46,163.99,1,2016-07-20 23:08:28,0
82.4,36,66744.65,218.97,1,2016-06-29 03:07:51,0
73.95,35,67714.82,238.58,0,2016-04-10 14:48:35,0
72.07,31,69710.51,226.45,0,2016-04-16 16:38:35,0
80.39,31,66269.49,214.74,0,2016-05-03 08:21:23,0
65.8,25,60843.32,231.49,1,2016-03-18 16:04:59,0
69.97,28,55041.6,250.0,0,2016-05-22 00:01:58,0
52.62,50,73863.25,176.52,0,2016-02-01 20:30:35,1
39.25,39,62378.05,152.36,0,2016-01-23 17:39:06,1
77.56,38,63336.85,130.83,1,2016-05-19 03:52:24,1
33.52,43,42191.61,165.56,0,2016-05-09 21:54:38,1
79.81,24,56194.56,178.85,1,2016-05-31 11:44:45,1
84.79,33,61771.9,214.53,0,2016-03-30 19:09:50,0
82.7,35,61383.79,231.07,0,2016-01-09 15:49:28,0
84.88,32,63924.82,186.48,0,2016-04-18 03:41:56,0
54.92,54,23975.35,161.16,0,2016-06-13 13:59:51,1
76.56,34,70179.11,221.53,1,2016-04-23 08:15:31,0
69.74,49,66524.8,243.37,0,2016-03-27 16:41:29,0
75.55,22,41851.38,169.4,0,2016-02-19 07:29:30,1
72.19,33,61275.18,250.35,1,2016-05-19 11:16:59,0
84.29,41,60638.38,232.54,0,2016-01-27 20:47:57,0
73.89,39,47160.53,110.68,0,2016-04-20 00:41:53,1
75.84,21,48537.18,186.98,0,2016-02-07 07:41:06,0
73.38,25,53058.91,236.19,1,2016-04-21 09:30:35,0
80.72,31,68614.98,186.37,0,2016-04-19 05:15:28,0
62.06,44,44174.25,105.0,0,2016-04-12 14:01:08,1
51.5,34,67050.16,135.31,0,2016-03-15 11:25:48,1
90.97,37,54520.14,180.77,0,2016-02-16 18:21:36,0
86.78,30,54952.42,170.13,1,2016-02-18 23:08:59,0
66.18,35,69476.42,243.61,0,2016-03-25 08:40:15,0
84.33,41,54989.93,240.95,0,2016-03-16 00:28:10,0
36.87,36,29398.61,195.91,0,2016-01-28 11:50:40,1
34.78,48,42861.42,208.21,1,2016-03-24 02:01:55,1
76.84,32,65883.39,231.59,0,2016-03-03 22:31:16,0
67.05,25,65421.39,220.92,0,2016-02-26 09:54:33,0
41.47,31,60953.93,219.79,0,2016-07-06 15:56:39,1
80.71,26,58476.57,200.58,0,2016-06-24 05:50:22,0
80.09,31,66636.84,214.08,0,2016-05-23 21:00:45,0
